Algorithm,Instance,Prob,N_iter
Naive,1_1,0.7242,10
Karger,1_1,1.0,10
Naive,1_2,0.158,10
Karger,1_2,0.998,10
Naive,1_3,0.2134,10
Karger,1_3,1.0,10
Naive,2_1,0.0383,10
Karger,2_1,1.0,10
Naive,2_2,0.0,10
Karger,2_2,0.6501,10
Naive,2_3,0.0607,10
Karger,2_3,0.8444,10
Naive,1_1,0.9993,50
Karger,1_1,1.0,50
Naive,1_2,0.5512,50
Karger,1_2,1.0,50
Naive,1_3,0.7068,50
Karger,1_3,1.0,50
Naive,2_1,0.1726,50
Karger,2_1,1.0,50
Naive,2_2,0.0,50
Karger,2_2,0.9953,50
Naive,2_3,0.2882,50
Karger,2_3,0.9999,50
Naive,1_1,1.0,100
Karger,1_1,1.0,100
Naive,1_2,0.7937,100
Karger,1_2,1.0,100
Naive,1_3,0.9135,100
Karger,1_3,1.0,100
Naive,2_1,0.3231,100
Karger,2_1,1.0,100
Naive,2_2,0.0,100
Karger,2_2,0.9998,100
Naive,2_3,0.4874,100
Karger,2_3,1.0,100
Naive,1_1,1.0,250
Karger,1_1,1.0,250
Naive,1_2,0.9792,250
Karger,1_2,1.0,250
Naive,1_3,0.9976,250
Karger,1_3,1.0,250
Naive,2_1,0.6186,250
Karger,2_1,1.0,250
Naive,2_2,0.0001,250
Karger,2_2,1.0,250
Naive,2_3,0.8076,250
Karger,2_3,1.0,250
Naive,1_1,1.0,500
Karger,1_1,1.0,500
Naive,1_2,1.0,500
Karger,1_2,1.0,500
Naive,1_3,1.0,500
Karger,1_3,1.0,500
Naive,2_1,0.8501,500
Karger,2_1,1.0,500
Naive,2_2,0.0003,500
Karger,2_2,1.0,500
Naive,2_3,0.9621,500
Karger,2_3,1.0,500
Naive,1_1,1.0,1000
Karger,1_1,1.0,1000
Naive,1_2,1.0,1000
Karger,1_2,1.0,1000
Naive,1_3,1.0,1000
Karger,1_3,1.0,1000
Naive,2_1,0.9767,1000
Karger,2_1,1.0,1000
Naive,2_2,0.0006,1000
Karger,2_2,1.0,1000
Naive,2_3,0.9981,1000
Karger,2_3,1.0,1000
Naive,1_1,1.0,2500
Karger,1_1,1.0,2500
Naive,1_2,1.0,2500
Karger,1_2,1.0,2500
Naive,1_3,1.0,2500
Karger,1_3,1.0,2500
Naive,2_1,0.9999,2500
Karger,2_1,1.0,2500
Naive,2_2,0.0007,2500
Karger,2_2,1.0,2500
Naive,2_3,1.0,2500
Karger,2_3,1.0,2500
